feature,importance
Opcode weight PUSH16,0.0011516280041992566
Opcode weight PUSH19,0.0011462545932964694
Opcode weight PUSH25,0.0011423749369874052
Opcode weight PUSH30,0.0011393157916774882
Opcode weight PUSH26,0.0011091333209747424
Opcode weight SIGNEXTEND,0.0010977542451512021
Opcode weight PUSH24,0.001096960381457442
Opcode weight PUSH27,0.0010914729755790284
Opcode weight SWAP15,0.0010785577302262184
Opcode weight SWAP9,0.001077578379201609
Opcode weight PUSH21,0.0010734613480459824
Opcode weight DUP16,0.0010716201676478035
Opcode weight DUP11,0.0010708881931761102
Opcode weight SWAP13,0.0010683047419256088
Opcode weight SLT,0.0010648458518438756
Opcode weight PC,0.001059083475648648
Opcode weight XOR,0.001045912777319301
Opcode weight CALLCODE,0.0010377777273822188
Opcode weight DUP14,0.0010355942324466337
Opcode weight SGT,0.00103076278781443
Opcode weight SAR,0.0010164246309038833
Opcode weight GASLIMIT,0.0010124652905393993
Opcode weight DIFFICULTY,0.0009925081702038974
Opcode weight LOG0,0.0009775827203835014
Opcode weight SWAP14,0.0009707688052124465
Opcode weight CREATE,0.0009672528178507462
Opcode weight EXTCODECOPY,0.0009590720725507865
Opcode weight SMOD,0.0009526685029125294
Opcode weight COINBASE,0.0009372839214880131
Opcode weight ADDMOD,0.0009328875099282576
Opcode weight SWAP16,0.000912992951085652
Opcode weight GASPRICE,0.0008933450246997927
q,4.4450612226174674e-05
bytecode_character_L,2.1112920210335473e-05
Weight bytecode_character__,1.9773396943759622e-05
bytecode_character_>,1.774272271486439e-05
bytecode_character_n,1.7095967646583613e-05
bytecode_character_<,1.425155957564011e-05
Weight bytecode_character_n,1.4121982954629922e-05
Weight bytecode_character_M,1.3947244806953293e-05
bytecode_character_s,1.371055184446926e-05
Weight bytecode_character_t,1.3670257819681341e-05
Weight bytecode_character_i,1.180231624146286e-05
Weight bytecode_character_<,1.0553591023233135e-05
Weight bytecode_character_:,8.796648630767471e-06
bytecode_character_i,8.514036475221906e-06
Weight bytecode_character_S,7.493898791353917e-06
bytecode_character_B,6.424444436721635e-06
Weight bytecode_character_s,6.219586215331293e-06
bytecode_character_M,6.203020102422884e-06
bytecode_character_:,5.9392111899363895e-06
Weight bytecode_character_h,5.8689783864384024e-06
Weight bytecode_character_B,5.509785370933896e-06
Weight bytecode_character_o,4.924275466735101e-06
Weight bytecode_character_>,4.526383761991039e-06
Weight bytecode_character_D,4.3995565905608346e-06
bytecode_character_t,3.7066082434530675e-06
bytecode_character__,2.8967146082233713e-06
Weight bytecode_character_I,2.622621038678506e-06
bytecode_character_k,2.393566960751727e-06
Weight bytecode_character_k,2.3323667504216676e-06
Weight bytecode_character_L,2.2444525469361797e-06
bytecode_character_h,2.2205450637794514e-06
Weight bytecode_character_y,2.0907955610946892e-06
bytecode_character_E,1.955849851946653e-06
bytecode_character_C,1.94814119061652e-06
bytecode_character_R,1.2012615180806979e-06
bytecode_character_r,1.0719331503887926e-06
Weight bytecode_character_C,9.977103478822352e-07
bytecode_character_l,9.356763600936296e-07
Weight bytecode_character_m,8.099212619499045e-07
bytecode_character_S,1.0162234557088692e-18
bytecode_character_y,7.162879045387117e-20
Weight bytecode_character_E,1.6756645653170923e-20
Weight bytecode_character_P,0.0
bytecode_character_A,0.0
bytecode_character_u,0.0
Weight bytecode_character_x,0.0
bytecode_character_I,0.0
bytecode_character_m,0.0
bytecode_character_P,0.0
Weight bytecode_character_g,0.0
bytecode_character_g,0.0
Weight bytecode_character_u,0.0
bytecode_character_D,0.0
Weight bytecode_character_O,0.0
Weight bytecode_character_A,0.0
bytecode_character_T,0.0
Opcode weight SHA3,0.0
Weight bytecode_character_T,0.0
bytecode_character_z,0.0
bytecode_character_O,0.0
Weight bytecode_character_z,0.0
bytecode_character_v,0.0
bytecode_character_o,0.0
Weight bytecode_character_r,0.0
Weight bytecode_character_v,0.0
Weight bytecode_character_R,0.0
ast_len_exportedSymbols,0.0
Weight bytecode_character_l,0.0
bytecode_character_x,0.0
